Series15_HealthyLungBiopsy_1,Series15_HealthyLungBiopsy_2,Series15_COVID19Lung_1,Series15_COVID19Lung_2
PIK3CD,1633,374,0,22
CLSTN1,1215,1445,1,18
CTNNBIP1,272,637,1,0
LZIC,329,155,0,5
NMNAT1,58,48,1,0
RBP7,21,452,4,6
UBE4B,846,617,0,15
KIF1B,1529,906,3,39
PGD,4975,2069,16,175
CORT,5,0,0,0
DFFA,537,303,2,4
PEX14,285,183,0,10
CASZ1,654,214,0,6
C1orf127,2,0,0,0
TARDBP,7583,2308,0,34
MASP2,61,79,0,7
SRM,1727,1098,3,67
EXOSC10,1511,994,0,22
MTOR,1517,631,0,14
MTOR-AS1,3,0,0,0
ANGPTL7,6,4,0,0
UBIAD1,889,365,0,0
FBXO2,47,47,0,2
FBXO44,305,265,0,0
FBXO6,331,237,4,19
MAD2L2,1861,964,2,23
DRAXIN,1,0,0,0
AGTRAP,1257,989,4,14
MTHFR,782,1013,0,1
CLCN6,849,375,0,0
NPPA-AS1,20,6,0,0
NPPA,22,10,0,0
NPPB,1,0,0,0
KIAA2013,665,599,0,9
PLOD1,3059,1734,0,27
MFN2,4276,1989,3,0
MIIP,294,324,2,1
TNFRSF8,69,53,0,0
TNFRSF1B,6790,2716,8,40
MIR4632,0,0,0,0
VPS13D,2308,970,0,2
SNORA59B,0,0,0,0
SNORA59A,0,0,0,0
DHRS3,2981,998,1,42
AADACL4,0,0,0,0
AADACL3,0,0,0,0
C1orf158,25,0,0,2
PRAMEF12,0,0,0,0
PRAMEF1,1,0,0,0
PRAMEF11,0,0,0,0
HNRNPCL1,0,14,0,0
PRAMEF2,0,0,0,0
PRAMEF4,0,0,0,0
PRAMEF10,0,0,0,0
PRAMEF8,0,0,0,0
PRAMEF7,0,0,0,0
PRAMEF6,0,0,0,0
PRAMEF22,0,0,0,0
PRAMEF5,0,0,0,0
PRAMEF9,0,0,0,0
PRAMEF15,0,0,0,0
PRAMEF14,0,0,0,0
PRAMEF13,0,0,0,0
PRAMEF19,0,0,0,0
PRAMEF18,0,0,0,0
PRAMEF20,0,0,0,0
PRAMEF17,0,2,0,0
LRRC38,29,0,2,0
PDPN,3458,861,10,104
PRDM2,2624,770,1,0
KAZN,862,883,0,2
TMEM51-AS1,64,25,0,0
TMEM51,3676,437,0,3
FHAD1,43,49,0,0
EFHD2,2977,1622,10,262
CTRC,19,14,0,0
CELA2A,2,4,0,0
CELA2B,13,7,0,0
CASP9,334,476,0,1
DNAJC16,342,199,0,30
AGMAT,6,6,0,0
DDI2,80,13,0,0
RSC1A1,95,40,0,6
PLEKHM2,3207,1352,0,1
SLC25A34,123,65,0,0
TMEM82,0,0,0,0
FBLIM1,452,1362,0,19
UQCRHL,187,103,0,3
FLJ37453,116,146,0,1
SPEN,3832,1520,3,41
ZBTB17,1597,1174,1,1
HSPB7,194,581,0,0
CLCNKA,1,20,0,0
CLCNKB,2,12,0,0
FAM131C,0,0,0,0
EPHA2,6847,747,0,15
ARHGEF19,189,284,0,4
FBXO42,1069,304,0,9
SZRD1,5141,3062,7,86
SPATA21,7,5,0,0
NECAP2,4296,1771,1,36
CROCCP3,75,66,0,0
MIR3675,0,0,0,0
NBPF1,179,127,0,0
CROCCP2,408,435,0,12
MST1P2,21,22,0,0
ESPNP,1,0,0,0
MST1L,29,4,0,0
CROCC,140,285,0,0
MFAP2,66,123,0,0
ATP13A2,795,231,0,3
SDHB,2508,1395,5,18
PADI2,131,123,13,131
PADI1,18,0,0,0
PADI3,0,8,0,0
PADI4,18,193,8,26
PADI6,0,0,0,0
RCC2,3314,1715,1,15
ARHGEF10L,498,336,0,0
ACTL8,0,0,0,0
IGSF21,3,42,0,0
KLHDC7A,12,10,0,0
PAX7,0,0,0,0
TAS1R2,1,0,0,0
ALDH4A1,84,297,0,0
MIR4695,0,0,0,0
IFFO2,844,393,0,6
UBR4,11810,1958,3,60
EMC1,1407,588,2,18
MRTO4,2689,1178,1,23
AKR7L,6,32,0,0
AKR7A3,14,26,0,0
LOC100506730,21,44,0,0
AKR7A2,374,944,0,5
PQLC2,243,202,0,1
CAPZB,6218,5739,54,574
MINOS1,1763,1237,2,113
NBL1,9,36,0,0
HTR6,3,0,0,0
TMCO4,190,219,0,0
RNF186,2,0,0,0
OTUD3,2326,247,0,0
PLA2G2E,0,0,0,0
PLA2G2A,17,1880,4,18
PLA2G5,26,181,0,3
PLA2G2D,17,22,0,0
PLA2G2F,0,0,0,0
PLA2G2C,0,2,0,0
UBXN10,34,71,0,0
VWA5B1,0,10,0,0
CAMK2N1,639,1116,3,63
MUL1,1491,536,0,1
FAM43B,0,10,0,2
CDA,33,266,27,205
PINK1,738,1646,1,3
DDOST,4343,2407,4,52
KIF17,705,276,0,2
SH2D5,722,1,0,0
HP1BP3,4832,2336,2,67
EIF4G3,1325,547,1,70
ECE1,8717,6077,0,69
LOC100506801,43,17,0,0
NBPF3,115,34,0,0
ALPL,582,1754,58,377
RAP1GAP,172,47,0,5
USP48,1223,573,0,4
LDLRAD2,14,23,0,0
HSPG2,1101,412,2,4
CELA3B,0,0,0,0
CELA3A,0,0,0,0
LINC00339,172,246,0,3
CDC42,11272,5466,45,588
WNT4,58,29,0,0
ZBTB40,1425,517,0,10
EPHA8,0,0,0,0
C1QA,3422,5820,27,170
C1QC,1240,1324,54,433
C1QB,3569,4219,68,503
EPHB2,1275,74,0,13
MIR4684,0,0,0,0
MIR4253,0,0,0,0
KDM1A,2509,1034,0,3
MIR3115,0,0,0,0
LUZP1,4012,872,0,4
HTR1D,2,31,1,0
HNRNPR,4238,2559,4,64
ZNF436,402,501,0,15
TCEA3,209,571,0,0
ASAP3,191,463,0,0
E2F2,13,22,0,0
ID3,5923,4427,0,33
MDS2,5,0,0,0
RPL11,35252,28399,87,879
PITHD1,2146,1200,0,17
LYPLA2,1826,1035,0,18
GALE,1004,233,0,13
HMGCL,900,582,0,2
FUCA1,324,453,5,21
CNR2,10,0,0,0
MIR378F,0,0,0,0
PNRC2,1443,366,3,0
SRSF10,891,279,0,0
MYOM3,0,38,0,5
IL22RA1,8,17,0,0
IFNLR1,191,13,0,0
LOC284632,0,8,0,0
GRHL3,7,5,0,0
STPG1,184,168,0,8
NIPAL3,392,416,0,0
RCAN3AS,1,0,0,0
RCAN3,160,93,4,6
NCMAP,40,35,0,1
SRRM1,3239,1500,9,43
CLIC4,17477,6443,31,781
RUNX3,937,345,2,3
SYF2,1694,1342,0,29
RHD,31,25,0,0
TMEM50A,4618,1874,20,342
RHCE,8,3,0,0
LDLRAP1,668,578,0,0
MAN1C1,77,219,0,26
MTFR1L,800,872,1,0
LOC646471,62,40,0,0
AUNIP,11,2,0,0
PAQR7,292,204,0,2
STMN1,1185,888,1,11
MIR3917,0,0,0,0
PAFAH2,167,187,0,8
EXTL1,6,8,0,0
SLC30A2,10,7,0,0
TRIM63,6,4,0,0
PDIK1L,142,65,0,0
FAM110D,69,1107,0,0
ZNF593,1591,977,0,4
CNKSR1,243,88,0,16
CATSPER4,1,0,0,0
CEP85,201,94,0,0
SH3BGRL3,14133,8356,216,2138
UBXN11,447,454,4,5
CD52,994,2886,21,103
ZNF683,9,31,0,0
LIN28A,0,3,0,0
DHDDS,862,371,0,0
HMGN2,1870,3337,1,23
RPS6KA1,2400,1149,4,58
MIR1976,0,0,3,0
ARID1A,2060,967,1,31
PIGV,283,144,1,19
ZDHHC18,1257,624,1,21
SFN,7692,464,0,1
GPN2,527,301,0,0
GPATCH3,405,401,0,0
NR0B2,447,10,0,1
NUDC,6351,2875,1,50
TRNP1,355,114,0,2
SLC9A1,1631,473,0,0
WDTC1,753,654,1,15
TMEM222,1404,965,0,8
SYTL1,156,77,2,2
MAP3K6,333,5125,0,0
FCN3,1177,16072,6,85
CD164L2,15,3,0,0
GPR3,138,294,0,0
WASF2,3918,3482,0,53
AHDC1,353,386,0,1
FGR,2287,3122,85,1853
IFI6,3698,1824,932,11033
FAM76A,167,242,0,9
STX12,5509,2061,15,280
PPP1R8,1422,821,2,18
SCARNA1,4,0,0,3
THEMIS2,990,849,4,42
RPA2,1326,762,0,53
SMPDL3B,117,28,0,0
XKR8,156,152,2,0
EYA3,1125,451,0,55
PTAFR,1253,282,4,48
DNAJC8,4727,1966,13,96
SESN2,1332,339,0,0
MED18,19,11,0,9
PHACTR4,331,197,0,9
SNHG3,2448,808,1,4
RCC1,1117,211,1,13
TRNAU1AP,1147,420,0,2
SNHG12,3043,451,0,6
SNORD99,52,70,0,0
SNORA61,140,51,0,6
SNORA44,69,23,0,3
SNORA16A,82,14,1,1
RAB42,30,12,0,0
TAF12,710,410,6,24
RNU11,34,13,6,12
GMEB1,365,95,0,0
YTHDF2,2507,1471,2,32
OPRD1,0,0,0,0
EPB41,927,244,0,13
TMEM200B,19,42,0,0
SRSF4,7863,3693,4,145
MECR,304,343,0,4
PTPRU,308,219,0,4
MATN1,27,9,0,0
MATN1-AS1,62,27,0,0
LAPTM5,9069,7537,50,546
MIR4420,0,0,0,0
SDC3,1088,1089,1,0
PUM1,3253,996,0,98
SNORD103B,0,0,0,0
SNORD103A,0,0,0,0
NKAIN1,0,0,0,0
SNRNP40,1555,505,5,18
ZCCHC17,972,655,2,6
FABP3,509,440,0,3
SERINC2,1200,208,1,8
TINAGL1,888,3132,1,11
HCRTR1,7,0,0,0
PEF1,3264,2104,9,40
COL16A1,758,445,0,0
MIR4254,0,0,0,0
SPOCD1,264,118,0,0
PTP4A2,10743,3377,6,196
KHDRBS1,4726,2689,9,209
TMEM39B,501,500,0,0
KPNA6,2520,1238,3,63
TXLNA,3622,2197,0,18
CCDC28B,151,122,0,0
IQCC,89,35,0,0
DCDC2B,84,74,0,0
TMEM234,166,141,0,0
EIF3I,11581,3182,22,93
MTMR9LP,240,956,0,0
FAM167B,255,463,1,0
LCK,777,92,0,0
HDAC1,3226,1769,4,69
MARCKSL1,2194,1692,4,108
FAM229A,58,55,0,0
TSSK3,63,65,0,1
BSDC1,1968,1113,0,4
ZBTB8B,0,2,0,0
ZBTB8A,90,196,0,0
ZBTB8OS,761,433,2,83
RBBP4,2306,801,0,21
SYNC,5,72,0,0
KIAA1522,1094,368,1,6
YARS,6129,1570,0,30
S100PBP,652,319,0,1
FNDC5,6,34,0,0
HPCA,1,3,0,0
TMEM54,302,418,0,1
RNF19B,3293,787,48,985
AK2,8382,2118,4,147
TRIM62,145,94,0,5
ZNF362,118,471,0,6
PHC2,7180,4572,3,13
MIR3605,7,5,0,0
ZSCAN20,72,34,0,0
CSMD2,24,9,0,0
HMGB4,2,0,0,0
C1orf94,0,1,0,0
GJB5,16,4,0,0
GJB4,19,1,0,0
GJB3,108,0,0,0
GJA4,2204,2320,1,3
SMIM12,2039,1166,0,31
DLGAP3,11,4,0,0
LOC653160,50,99,0,0
ZMYM6,464,216,0,0
ZMYM1,94,75,0,0
SFPQ,6530,2753,4,145
ZMYM4,1300,490,4,53
KIAA0319L,833,755,6,44
NCDN,304,227,0,0
TFAP2E,73,40,0,0
PSMB2,4485,1354,8,307
C1orf216,469,558,0,0
CLSPN,25,46,0,0
AGO4,880,702,0,20
AGO1,567,536,0,0
AGO3,738,93,4,4
TEKT2,100,19,2,0
ADPRHL2,1937,517,1,17
COL8A2,91,72,0,0
TRAPPC3,2617,1195,1,26
MAP7D1,4323,777,1,18
THRAP3,3783,1754,5,60
SH3D21,600,25,0,0
EVA1B,572,554,0,4
STK40,5539,2183,3,13
LSM10,819,760,3,46
OSCP1,116,61,1,0
MRPS15,1439,913,5,50
CSF3R,370,594,42,379
GRIK3,0,6,0,0
MIR4255,0,0,0,0
ZC3H12A,7498,1367,23,728
MEAF6,1367,1003,0,29
MIR5581,1,0,0,0
SNIP1,1031,299,0,8
DNALI1,387,290,0,7
GNL2,4336,1107,0,7
RSPO1,31,88,0,0
C1orf109,583,216,1,2
CDCA8,16,10,0,0
EPHA10,4,15,0,1
MANEAL,64,55,0,0
YRDC,1552,454,0,5
C1orf122,1184,952,0,51
MTF1,1267,426,2,91
INPP5B,400,346,0,0
SF3A3,2664,1632,2,15
FHL3,586,404,9,82
POU3F1,8,4,0,0
MIR3659,0,0,0,0
RRAGC,2431,843,0,17
GJA9-MYCBP,7,0,0,0
MYCBP,1,0,0,0
GJA9,0,0,0,0
RHBDL2,41,15,0,0
AKIRIN1,3091,1507,0,42
NDUFS5,4923,3505,6,58
MACF1,18428,3886,4,124
KIAA0754,125,26,0,0
BMP8A,43,131,0,0
PPIEL,53,70,0,0
PABPC4,4486,3313,0,134
SNORA55,3,0,0,0
HEYL,295,1794,0,3
NT5C1A,0,0,0,0
HPCAL4,16,47,0,0
PPIE,1241,814,2,4
BMP8B,12,23,0,0
OXCT2,2,9,0,0
TRIT1,907,261,0,0
MFSD2A,3461,321,2,12
CAP1,12903,5651,42,753
PPT1,1539,1563,6,72
RLF,3762,421,0,14
TMCO2,3,3,0,0
ZMPSTE24,926,611,0,67
COL9A2,52,51,2,11
SMAP2,1592,2292,38,411
ZFP69B,37,7,0,0
ZFP69,38,105,0,0
EXO5,229,107,0,8
ZNF684,61,81,0,5
RIMS3,162,751,0,0
NFYC,1436,979,0,24
MIR30E,0,0,0,0
MIR30C1,0,0,0,0
KCNQ4,60,179,0,0
CITED4,417,80,0,12
CTPS1,2172,569,0,1
SLFNL1-AS1,37,14,0,0
SLFNL1,17,5,0,0
SCMH1,1519,589,0,15
EDN2,70,5,0,0
HIVEP3,1785,257,5,34
GUCA2B,0,0,0,0
GUCA2A,6,0,0,0
FOXJ3,2679,774,0,18
RIMKLA,139,107,0,6
ZMYND12,19,26,0,12
PPCS,691,948,0,15
CCDC30,48,19,0,0
PPIH,450,485,0,2
YBX1,17935,13436,15,221
CLDN19,1,2,0,0
C1orf50,275,157,0,13
ERMAP,216,249,0,0
ZNF691,203,158,0,0
SLC2A1,7310,566,0,39
SLC2A1-AS1,9,15,0,0
FAM183A,51,19,0,8
EBNA1BP2,4654,1014,0,7
TMEM125,498,494,0,0
C1orf210,31,58,0,4
TIE1,2261,2414,8,47
MPL,9,24,0,0
CDC20,49,12,0,0
ELOVL1,3085,1050,4,14
MED8,1544,564,2,15
SZT2,853,587,0,6
HYI,0,0,0,0
PTPRF,1867,551,2,14
KDM4A,513,388,0,6
KDM4A-AS1,9,7,0,0
ST3GAL3,497,407,0,0
ARTN,17,68,0,0
IPO13,512,401,1,6
DPH2,1434,578,0,5
ATP6V0B,5684,2193,7,74
B4GALT2,717,472,0,0
CCDC24,52,67,0,0
SLC6A9,52,316,0,3
KLF17,5,72,0,0
DMAP1,426,844,4,0
ERI3,701,931,0,13
RNF220,1182,1199,0,17
MIR5584,0,0,0,0
TMEM53,110,157,0,1
KIF2C,70,36,0,3
RPS8,42225,29808,54,705
SNORD55,64,30,0,0
SNORD46,11,0,0,0
SNORD38A,16,34,0,0
SNORD38B,105,121,0,0
BEST4,19,12,0,0
PLK3,2381,1233,5,15
TCTEX1D4,27,2,0,0
BTBD19,70,13,0,0
PTCH2,47,24,0,5
EIF2B3,569,314,0,17
HECTD3,752,593,7,67
UROD,1024,1344,0,2
ZSWIM5,143,86,0,0
HPDL,13,19,0,0
MUTYH,354,312,0,4
TOE1,776,274,0,0
TESK2,223,124,0,0
MMACHC,18,12,0,0
PRDX1,20228,6203,13,281
AKR1A1,2375,1512,3,11
NASP,4603,2827,1,14
CCDC17,188,59,0,0
GPBP1L1,2978,1491,0,44
RPS15AP10,3,25,0,0
TMEM69,382,212,1,21
IPP,11,45,0,0
MAST2,830,654,0,2
PIK3R3,323,7063,2,27
TSPAN1,612,139,6,7
POMGNT1,1329,772,1,14
LURAP1,32,13,0,0
RAD54L,51,26,0,0
LRRC41,2617,1269,6,39
UQCRH,3924,2377,6,94
NSUN4,878,370,0,0
FAAH,196,131,0,0
DMBX1,4,0,0,0
MKNK1-AS1,13,6,0,0
KNCN,0,0,0,0
MKNK1,871,591,3,18
MOB3C,2021,1461,0,11
ATPAF1,393,486,4,0
TEX38,1,0,0,0
EFCAB14-AS1,1,0,0,0
EFCAB14,2359,2163,2,150
CYP4B1,1054,1063,0,54
CYP4Z2P,9,7,0,0
CYP4A11,1,43,0,0
CYP4X1,38,190,0,2
CYP4Z1,14,2,0,0
CYP4A22,2,0,0,0
LINC00853,1,8,0,0
PDZK1IP1,2328,97,3,45
TAL1,806,852,0,11
STIL,40,12,0,0
CMPK1,2858,2704,1,55
FOXE3,0,0,0,0
FOXD2-AS1,41,32,0,0
FOXD2,11,17,0,0
TRABD2B,56,131,0,7
SLC5A9,93,39,0,6
SPATA6,91,282,0,4
AGBL4,7,0,0,0
BEND5,137,112,0,0
ELAVL4,4,7,0,0
DMRTA2,0,6,0,0
FAF1,932,726,2,13
CDKN2C,114,278,0,8
C1orf185,0,0,0,0
RNF11,2632,1822,0,45
TTC39A,211,155,0,0
EPS15,1834,1108,0,81
OSBPL9,1306,1130,8,70
MIR761,0,0,0,0
RAB3B,13,9,0,1
TXNDC12,2365,967,10,129
KTI12,0,0,0,0
BTF3L4,1350,883,5,83
ZFYVE9,425,389,0,9
CC2D1B,1506,614,0,0
ORC1,40,12,0,0
PRPF38A,1933,660,1,29
GPX7,145,111,0,2
ZYG11B,435,466,2,8
ZYG11A,0,0,0,0
ECHDC2,388,769,1,5
SCP2,717,1644,3,25
PODN,146,1476,0,0
SLC1A7,19,144,0,0
CPT2,265,236,0,3
C1orf123,817,1068,0,22
MAGOH,2037,834,1,36
LOC100507564,2,0,0,0
LRP8,301,17,0,1
SLC25A3P1,0,0,0,0
DMRTB1,0,0,0,0
GLIS1,7,9,0,0
YIPF1,688,361,5,61
DIO1,4,2,0,0
HSPB11,590,317,0,22
LRRC42,1281,326,0,3
LDLRAD1,32,18,0,0
TMEM59,5501,3672,14,257
TCEANC2,78,51,0,10
MIR4781,0,0,0,0
CDCP2,0,0,0,0
CYB5RL,26,34,0,0
MRPL37,1426,923,1,5
SSBP3,727,688,7,24
ACOT11,9,15,0,0
FAM151A,2,0,0,0
MROH7,4,15,0,0
TTC4,22,3,0,0
PARS2,76,18,0,0
TTC22,22,0,0,0
DHCR24,2124,1548,2,34
TMEM61,12,2,0,0
BSND,0,0,0,0
PCSK9,86,11,0,22
USP24,2892,732,0,30
LOC100507634,49,23,0,9
MIR4422,0,0,0,0
PRKAA2,170,87,0,0
C8A,9,3,0,10
C8B,17,5,0,0
DAB1,2,9,0,0
OMA1,122,158,0,8
TACSTD2,9098,449,2,114
MYSM1,1398,326,2,1
JUN,37849,13579,2,53
HSD52,0,0,0,0
FGGY,160,177,0,0
MIR4711,0,0,0,0
HOOK1,235,45,0,0
CYP2J2,18,0,4,0
C1orf87,21,20,0,0
NFIA,350,1477,0,18
MGC34796,1,2,0,0
TM2D1,674,392,0,9
L1TD1,27,22,0,0
KANK4,35,65,0,0
USP1,929,398,2,31
DOCK7,1056,195,1,0
ANGPTL3,6,0,0,0
ATG4C,123,127,0,15
LINC00466,0,0,0,0
FOXD3,0,0,0,0
ALG6,111,149,0,20
ITGB3BP,68,105,0,19
EFCAB7,49,83,0,0
DLEU2L,4,0,0,0
PGM1,1343,1302,0,36
ROR1,239,63,0,1
UBE2U,0,0,0,0
CACHD1,469,352,0,11
MIR4794,0,0,0,0
RAVER2,229,334,0,6
JAK1,19161,3000,16,426
MIR3671,14,2,0,0
MIR101-1,6,0,0,0
AK4,1467,306,2,2
DNAJC6,130,58,0,6
LEPROT,1906,2164,3,63
LEPR,152,915,0,0
PDE4B,8032,1258,48,993
SGIP1,1499,556,0,7
MIR3117,0,0,0,0
TCTEX1D1,20,368,0,5
INSL5,1,0,0,0
WDR78,83,59,0,19
MIER1,1704,669,19,337
SLC35D1,338,172,2,0
C1orf141,1,13,0,0
IL23R,0,9,0,2
IL12RB2,52,8,0,7
SERBP1,9456,4306,12,274
GADD45A,16868,2414,3,27
GNG12,3869,1733,3,88
GNG12-AS1,34,17,0,0
DIRAS3,106,85,0,0
WLS,1800,1507,0,66
MIR1262,1,0,0,0
RPE65,0,0,0,0
DEPDC1,3,4,0,0
LRRC7,0,5,0,0
PIN1P1,0,5,0,0
LRRC40,294,206,0,0
SRSF11,4070,1968,3,68
ANKRD13C,662,445,0,14
HHLA3,42,328,0,0
CTH,201,62,0,0
PTGER3,43,41,0,0
ZRANB2-AS1,6,0,0,0
ZRANB2,2259,924,0,33
MIR186,3,2,0,0
ZRANB2-AS2,0,11,0,0
NEGR1,80,170,0,0
NEGR1-IT1,0,0,0,0
LRRIQ3,1,0,0,0
FPGT-TNNI3K,0,0,0,0
FPGT,64,129,0,0
TNNI3K,0,0,0,0
CRYZ,325,335,0,12
TYW3,410,367,0,12
LHX8,0,2,0,0
SLC44A5,0,6,1,0
ACADM,451,452,0,14
RABGGTB,3703,1164,0,48
SNORD45C,7,9,0,0
SNORD45A,7,0,0,0
SNORD45B,11,10,0,0
MSH4,6,7,0,0
ASB17,0,0,0,0
ST6GALNAC3,112,214,0,14
ST6GALNAC5,141,43,0,0
PIGK,153,287,0,9
AK5,9,28,0,0
ZZZ3,860,292,0,10
USP33,969,521,0,7
NEXN,329,692,9,108
FUBP1,3954,804,0,29
DNAJB4,1319,610,0,1
GIPC2,24,270,0,8
MGC27382,3,0,0,0
PTGFR,35,46,0,0
IFI44L,1900,387,60,1040
IFI44,3139,673,25,534
MIR548AP,0,0,0,0
TTLL7,113,34,0,0
PRKACB,345,299,0,37
SAMD13,6,39,0,0
UOX,2,4,0,0
DNASE2B,14,64,0,18
RPF1,1903,794,0,48
GNG5,5941,2963,89,2231
CTBS,361,325,2,60
SSX2IP,59,108,0,0
LPAR3,32,24,0,0
MCOLN2,430,57,0,24
MCOLN3,66,88,0,0
WDR63,29,10,0,0
MIR4423,0,0,0,0
SYDE2,74,33,0,0
C1orf52,1312,484,0,23
BCL10,2011,468,0,23
LOC646626,35,19,0,0
DDAH1,1913,827,0,184
CYR61,21110,4835,49,423
ZNHIT6,752,478,5,23
COL24A1,11,37,0,0
ODF2L,839,428,0,8
CLCA2,0,9,0,0
CLCA1,1,0,0,0
CLCA4,0,0,0,0
CLCA3P,4,2,0,7
SH3GLB1,4566,2442,1,268
HS2ST1,507,326,0,2
LMO4,926,956,0,31
PKN2,740,420,3,4
GTF2B,2034,617,8,226
RBMXL1,1112,401,2,38
GBP3,2099,151,23,988
GBP1,7536,774,48,2436
GBP2,6526,1132,24,339
GBP7,18,12,0,0
GBP4,6546,1213,74,1386
GBP5,1157,68,41,729
GBP6,7,8,0,0
GBP1P1,278,106,5,78
LRRC8B,691,361,0,18
LRRC8C,1312,575,0,34
LRRC8D,363,152,0,11
GEMIN8P4,32,15,1,0
ZNF326,454,369,0,10
BARHL2,0,0,0,0
ZNF644,1501,295,0,17
HFM1,6,14,0,0
CDC7,238,211,0,0
TGFBR3,1367,1533,0,29
BRDT,2,4,0,0
EPHX4,30,20,0,0
BTBD8,7,0,0,0
KIAA1107,20,20,0,0
C1orf146,3,4,0,0
GLMN,227,99,0,0
RPAP2,320,147,2,30
GFI1,137,36,0,0
EVI5,491,344,0,0
RPL5,30498,20411,22,385
FAM69A,252,88,1,4
SNORD21,14,27,0,0
SNORA66,20,6,0,0
MTF2,567,324,0,23
TMED5,2920,810,4,181
CCDC18,57,59,0,0
DR1,1344,759,0,52
FNBP1L,942,961,0,16
BCAR3,2452,280,0,11
LOC100129046,20,0,0,0
MIR760,0,0,0,0
DNTTIP2,6151,1889,0,74
GCLM,1053,307,3,9
ABCA4,69,13,0,0
ARHGAP29,1450,1381,0,4
ABCD3,568,341,0,11
F3,4614,481,10,131
SLC44A3,206,94,0,6
CNN3,5147,7398,5,190
LOC729970,289,162,0,0
ALG14,129,131,0,0
TMEM56,57,35,0,0
TMEM56-RWDD3,0,0,0,0
RWDD3,131,103,0,4
PTBP2,683,367,0,0
